WKT,OGR_STYLE,comment
"LINESTRING(0.1 0.9,0.9 0.9)","PEN(c:#000000,p:""10px 5px 4px 5px"")","valid pattern"
"LINESTRING(0.1 0.8,0.9 0.8)","PEN(c:#000000,p:"""")","invalid pattern"
"LINESTRING(0.1 0.7,0.9 0.7)","PEN(c:#000000,p:""10 5"")","invalid pattern"
"LINESTRING(0.1 0.6,0.9 0.6)","PEN(c:#000000,w:10px,cap:""b"")","cap=b"
"LINESTRING(0.1 0.5,0.9 0.5)","PEN(c:#000000,w:10px,cap:""r"")","cap=r"
"LINESTRING(0.1 0.4,0.9 0.4)","PEN(c:#000000,w:10px,cap:""p"")","cap=p"
"LINESTRING(0.1 0.3,0.9 0.3)","PEN(c:#000000,w:10px,cap:""invalid"")","invalid cap"
"LINESTRING(0.1 0.25,0.1 0.2,0.9 0.2,0.9 0.25)","PEN(c:#000000,w:10px,j:""m"")","j=m"
"LINESTRING(0.1 0.15,0.1 0.1,0.9 0.1,0.9 0.15)","PEN(c:#000000,w:10px,j:""r"")","j=r"
"LINESTRING(0.1 0.05,0.1 0.0,0.9 0.0,0.9 0.05)","PEN(c:#000000,w:10px,j:""b"")","j=b"
"LINESTRING(0.1 -0.05,0.1 -0.1,0.9 -0.1,0.9 -0.05)","PEN(c:#000000,w:10px,j:""invalid"")","invalid j"
"LINESTRING(0.1 -0.2,0.9 -0.2)","PEN(c:#000000)",""
"LINESTRING(0.1 -0.2,0.9 -0.2)","PEN(c:#FF0000,dp:-5px)","line at the left, i.e. above"
"LINESTRING(0.1 -0.2,0.9 -0.2)","PEN(c:#0000BB,dp:5px)","line at the right, i.e. below"
